,test #1,test #2,test #3,test #4,test #5,test #6,test #7,test #8,test #9,test #10,test #11,test #12,test #13,test #14,test #15,test #16,test #17,test #18,test #19,test #20,
data size 10,0.0011,0.0009,0.0009,0.0009,0.0009,0.001,0.001,0.0008,0.001,0.0009,0.0009,0.0009,0.0007,0.0008,0.001,0.0008,0.0008,0.001,0.0008,0.0007,
data size 100,0.015,0.0131,0.0161,0.0154,0.0139,0.0141,0.0147,0.0138,0.0162,0.0206,0.0201,0.0159,0.0155,0.0138,0.0135,0.0154,0.0133,0.0149,0.0147,0.0137,
data size 1000,0.2103,0.2147,0.2082,0.2059,0.2182,0.2141,0.2229,0.2177,0.2,0.2045,0.2308,0.2115,0.1999,0.1953,0.2112,0.2029,0.2048,0.2729,0.3133,0.3605,
data size 10000,3.8157,4.3727,4.5287,4.6841,2.865,2.8666,2.7281,2.7992,2.762,3.2679,2.8029,3.1454,3.0874,2.9196,3.0945,2.9509,2.8894,3.5395,2.937,2.8489,
data size 100000,42.1312,41.5183,35.6859,34.806,35.9784,36.4051,35.9801,35.8424,33.971,35.2548,35.6037,41.289,38.2397,41.9503,35.4602,36.754,37.446,36.305,36.972,42.6748,
